model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,Rissbilder_for_Florian_9S6A2806_368_348_2093_2759.jpg,0.5,4635,2504,3892,8527,7139,4,0.420179494152842,0.062666874997376
packaged,Rissbilder_for_Florian_9S6A2815_1237_159_3590_2891.jpg,0.1,2450,1574,622,3072,4024,1,0.5273353422298752,0.06030429200473009
packaged,Rissbilder_for_Florian_9S6A2815_1237_159_3590_2891.jpg,0.25,2450,1574,622,3072,4024,1,0.5273353422298752,0.06030429200473009
packaged,Rissbilder_for_Florian_9S6A2815_1237_159_3590_2891.jpg,0.5,2450,1574,622,3072,4024,1,0.5273353422298752,0.06030429200473009
packaged,Rissbilder_for_Florian_9S6A2816_113_51_3722_4201.jpg,0.1,2120,1616,566,2686,3736,1,0.49279404927940496,0.06030741699942155
packaged,Rissbilder_for_Florian_9S6A2816_113_51_3722_4201.jpg,0.25,2120,1616,566,2686,3736,1,0.49279404927940496,0.06030741699942155
packaged,Rissbilder_for_Florian_9S6A2816_113_51_3722_4201.jpg,0.5,2120,1616,566,2686,3736,1,0.49279404927940496,0.06030741699942155
packaged,Rissbilder_for_Florian_9S6A2816_1644_2004_1934_2558.jpg,0.1,2887,1254,662,3549,4141,1,0.6010826566729127,0.06045124999945983
packaged,Rissbilder_for_Florian_9S6A2816_1644_2004_1934_2558.jpg,0.25,2887,1254,662,3549,4141,1,0.6010826566729127,0.06045124999945983
packaged,Rissbilder_for_Florian_9S6A2816_1644_2004_1934_2558.jpg,0.5,2887,1254,662,3549,4141,1,0.6010826566729127,0.06045124999945983
packaged,Rissbilder_for_Florian_9S6A2826_65_1595_3304_2654.jpg,0.1,3491,1902,990,4481,5393,1,0.5469215102616325,0.06014008399506565
packaged,Rissbilder_for_Florian_9S6A2826_65_1595_3304_2654.jpg,0.25,3491,1902,990,4481,5393,1,0.5469215102616325,0.06014008399506565
packaged,Rissbilder_for_Florian_9S6A2826_65_1595_3304_2654.jpg,0.5,3491,1902,990,4481,5393,1,0.5469215102616325,0.06014008399506565
packaged,Rissbilder_for_Florian_9S6A2830_715_2986_2996_2571.jpg,0.1,2809,1577,660,3469,4386,3,0.5566785572730876,0.06092749999515945
packaged,Rissbilder_for_Florian_9S6A2830_715_2986_2996_2571.jpg,0.25,2809,1577,660,3469,4386,3,0.5566785572730876,0.06092749999515945
packaged,Rissbilder_for_Florian_9S6A2830_715_2986_2996_2571.jpg,0.5,2809,1577,660,3469,4386,3,0.5566785572730876,0.06092749999515945
packaged,Rissbilder_for_Florian_9S6A2841_217_2299_3214_2878.jpg,0.1,4365,2603,954,5319,6968,3,0.5509972229235042,0.061318499996559694
packaged,Rissbilder_for_Florian_9S6A2841_217_2299_3214_2878.jpg,0.25,4365,2603,954,5319,6968,3,0.5509972229235042,0.061318499996559694
packaged,Rissbilder_for_Florian_9S6A2841_217_2299_3214_2878.jpg,0.5,4333,2588,986,5319,6921,1,0.5479954470722145,0.061318499996559694
packaged,Rissbilder_for_Florian_9S6A2842_321_767_3019_3008.jpg,0.1,3347,1904,751,4098,5251,1,0.5576474508497168,0.06132929200248327
packaged,Rissbilder_for_Florian_9S6A2842_321_767_3019_3008.jpg,0.25,3347,1904,751,4098,5251,1,0.5576474508497168,0.06132929200248327
packaged,Rissbilder_for_Florian_9S6A2842_321_767_3019_3008.jpg,0.5,3347,1904,751,4098,5251,1,0.5576474508497168,0.06132929200248327
packaged,Rissbilder_for_Florian_9S6A2842_635_1731_1931_2541.jpg,0.1,2859,879,835,3694,3738,1,0.6251913404767111,0.061634541998500936
packaged,Rissbilder_for_Florian_9S6A2842_635_1731_1931_2541.jpg,0.25,2859,879,835,3694,3738,1,0.6251913404767111,0.061634541998500936
packaged,Rissbilder_for_Florian_9S6A2842_635_1731_1931_2541.jpg,0.5,2859,879,835,3694,3738,1,0.6251913404767111,0.061634541998500936
